report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2019-06-25T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,24750,39540,71645,69078,137543,2019-06-25,-14790,2567
2019-07-02T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,45057,38764,70570,90343,157998,2019-07-02,6293,-19773
2019-07-09T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,48734,39508,74021,99594,164842,2019-07-09,9226,-25573
2019-07-16T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,63098,42134,74284,116508,182946,2019-07-16,20964,-42224
2019-07-23T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,69694,38944,74876,121515,187397,2019-07-23,30750,-46639
2019-07-30T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,66305,44583,75564,113887,182478,2019-07-30,21722,-38323
2019-08-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,63598,39432,72567,104262,172657,2019-08-06,24166,-31695
2019-08-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,50065,35865,73207,98380,160861,2019-08-13,14200,-25173
2019-08-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,47368,34331,71980,92293,155837,2019-08-20,13037,-20313
2019-08-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,48292,37387,72672,92086,158921,2019-08-27,10905,-19414
2019-09-03T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,48206,42857,80697,91268,167396,2019-09-03,5349,-10571
2019-09-10T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,54971,43448,82997,108864,183058,2019-09-10,11523,-25867
2019-09-17T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,62004,42181,83296,111040,187795,2019-09-17,19823,-27744
2019-09-24T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,40323,35731,48674,59118,123017,2019-09-24,4592,-10444
2019-10-01T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,46303,39976,49998,63454,130937,2019-10-01,6327,-13456
2019-10-08T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,49071,43758,53697,59579,136105,2019-10-08,5313,-5882
2019-10-15T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,58007,45046,54260,76985,149079,2019-10-15,12961,-22725
2019-10-22T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,71410,38017,57738,106358,170305,2019-10-22,33393,-48620
2019-10-29T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,81982,38393,63589,127040,189971,2019-10-29,43589,-63451
2019-11-05T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,87774,33772,64506,137583,192882,2019-11-05,54002,-73077
2019-11-12T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,73671,31298,70603,127432,182793,2019-11-12,42373,-56829
2019-11-19T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,65040,36175,68701,110343,172759,2019-11-19,28865,-41642
2019-11-26T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,60930,40586,67607,99823,167350,2019-11-26,20344,-32216
2019-12-03T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,64040,42569,79966,110194,184060,2019-12-03,21471,-30228
2019-12-10T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,55285,34544,69682,101534,169219,2019-12-10,20741,-31852
2019-12-17T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,47523,36332,85984,121501,189458,2019-12-17,11191,-35517
2019-12-24T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,51478,42981,65276,95855,158666,2019-12-24,8497,-30579
2019-12-31T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,63961,52048,61553,101602,175666,2019-12-31,11913,-40049
2020-01-07T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,68756,42389,70831,120354,189996,2020-01-07,26367,-49523
2020-01-14T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,70428,37576,69928,130028,190229,2020-01-14,32852,-60100
2020-01-21T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,74399,36105,68338,129088,188596,2020-01-21,38294,-60750
2020-01-28T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,76299,41709,68537,119269,185499,2020-01-28,34590,-50732
2020-02-04T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,67193,48630,63080,100666,174000,2020-02-04,18563,-37586
2020-02-11T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,68225,58520,57774,77069,166914,2020-02-11,9705,-19295
2020-02-18T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,61559,53742,64458,78962,164698,2020-02-18,7817,-14504
2020-02-25T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,63658,49034,66151,88098,168819,2020-02-25,14624,-21947
