report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2015-05-19T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,63398,85403,153519,82936,231658,2015-05-19,-22005,70583
2015-05-26T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,50210,112434,183190,65232,251744,2015-05-26,-62224,117958
2015-06-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46681,132374,193122,52276,260104,2015-06-02,-85693,140846
2015-06-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,42440,158726,234607,60130,306449,2015-06-09,-116286,174477
2015-06-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,64760,145424,180102,49482,262329,2015-06-16,-80664,130620
2015-06-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,39019,126736,190910,55586,247839,2015-06-23,-87717,135324
2015-06-30T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,45479,124301,187745,70463,254014,2015-06-30,-78822,117282
2015-07-07T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46070,109699,184004,83539,250828,2015-07-07,-63629,100465
2015-07-14T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,49167,96538,178906,95409,247704,2015-07-14,-47371,83497
2015-07-21T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,50899,113213,181299,81664,251136,2015-07-21,-62314,99635
2015-07-28T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46270,109808,180620,81388,246269,2015-07-28,-63538,99232
2015-08-04T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,49906,129622,185079,65098,252655,2015-08-04,-79716,119981
2015-08-11T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,45768,150994,199520,51445,264608,2015-08-11,-105226,148075
2015-08-18T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,45935,136065,185657,60438,251418,2015-08-18,-90130,125219
2015-08-25T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,59922,98981,173759,119045,260458,2015-08-25,-39059,54714
2015-09-01T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,68023,83578,179349,150846,273205,2015-09-01,-15555,28503
2015-09-08T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,63121,69783,185864,164852,279712,2015-09-08,-6662,21012
2015-09-15T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,36449,63263,107374,67815,166081,2015-09-15,-26814,39559
2015-09-22T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,48282,71960,103792,72205,177439,2015-09-22,-23678,31587
