report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2014-05-27T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22034,4090,3654,23716,30649,2014-05-27,17944,-20062
2014-06-03T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22400,4869,2986,21608,30066,2014-06-03,17531,-18622
2014-06-10T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,20401,3546,5419,23502,32946,2014-06-10,16855,-18083
2014-06-17T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21671,17938,2667,7656,28467,2014-06-17,3733,-4989
2014-06-24T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,24855,18703,2739,9621,31415,2014-06-24,6152,-6882
2014-07-01T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26563,17578,2890,12759,33455,2014-07-01,8985,-9869
2014-07-08T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26750,12334,1959,16826,36123,2014-07-08,14416,-14867
2014-07-15T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26570,11117,2140,17414,32879,2014-07-15,15453,-15274
2014-07-22T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26028,10896,2581,18458,32728,2014-07-22,15132,-15877
2014-07-29T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,23552,8263,2884,19439,30531,2014-07-29,15289,-16555
2014-08-05T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18949,4449,3057,18339,25603,2014-08-05,14500,-15282
2014-08-12T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17913,4484,3376,17731,25214,2014-08-12,13429,-14355
2014-08-19T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16796,4764,3600,16042,24048,2014-08-19,12032,-12442
2014-08-26T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16405,4564,3483,16020,23619,2014-08-26,11841,-12537
2014-09-02T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,15623,5451,4328,14831,23319,2014-09-02,10172,-10503
2014-09-09T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14369,4847,5346,15048,24920,2014-09-09,9522,-9702
2014-09-16T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9814,8694,3703,3664,16050,2014-09-16,1120,39
2014-09-23T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9779,7938,3664,3873,16146,2014-09-23,1841,-209
2014-09-30T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,10092,10028,5356,3214,18209,2014-09-30,64,2142
2014-10-07T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,10052,10152,6708,4345,19214,2014-10-07,-100,2363
2014-10-14T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9171,11555,9967,4482,21317,2014-10-14,-2384,5485
2014-10-21T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8526,10858,10519,4654,21311,2014-10-21,-2332,5865
2014-10-28T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8506,12404,10951,4390,22023,2014-10-28,-3898,6561
2014-11-04T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9737,13846,11941,3892,23716,2014-11-04,-4109,8049
2014-11-11T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9244,10233,8368,3957,19809,2014-11-11,-989,4411
2014-11-18T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9134,10381,8111,4159,19907,2014-11-18,-1247,3952
2014-11-25T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9630,11924,8276,3708,21096,2014-11-25,-2294,4568
2014-12-02T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9272,10952,8156,3848,20448,2014-12-02,-1680,4308
2014-12-09T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9786,12081,10974,5042,23550,2014-12-09,-2295,5932
2014-12-16T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9865,10504,5858,2611,18447,2014-12-16,-639,3247
2014-12-23T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9786,11194,7099,2655,19295,2014-12-23,-1408,4444
2014-12-30T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8236,10082,6733,2636,18071,2014-12-30,-1846,4097
2015-01-06T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,9865,10772,6679,2816,19437,2015-01-06,-907,3863
2015-01-13T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8396,10172,9158,3839,21064,2015-01-13,-1776,5319
2015-01-20T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,10941,12758,7997,4228,22818,2015-01-20,-1817,3769
2015-01-27T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,11908,15567,11093,3581,25594,2015-01-27,-3659,7512
