report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2015-06-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,52643,190617,316710,139995,436540,2015-06-09,-137974,176715
2015-06-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,82714,172071,225812,102841,350145,2015-06-16,-89357,122971
2015-06-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,67867,167173,233162,101253,345427,2015-06-23,-99306,131909
2015-06-30T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,65554,165589,236963,102207,346115,2015-06-30,-100035,134756
2015-07-07T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,66161,165427,245408,103930,354885,2015-07-07,-99266,141478
2015-07-14T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,62676,170457,249129,105205,356760,2015-07-14,-107781,143924
2015-07-21T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,65728,178704,254622,101507,366892,2015-07-21,-112976,153115
2015-07-28T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,67842,171850,244469,103550,357940,2015-07-28,-104008,140919
2015-08-04T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,70620,184014,254646,102623,367885,2015-08-04,-113394,152023
2015-08-11T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,67373,182583,248825,96502,361334,2015-08-11,-115210,152323
2015-08-18T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,68473,161205,240738,118412,356952,2015-08-18,-92732,122326
2015-08-25T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,87807,153885,235992,144841,374977,2015-08-25,-66078,91151
2015-09-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,74910,142767,238443,150100,363980,2015-09-01,-67857,88343
2015-09-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,75715,156956,254844,146399,383187,2015-09-08,-81241,108445
2015-09-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,63416,147618,201476,99066,311366,2015-09-15,-84202,102410
2015-09-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,63526,144559,204828,102714,315450,2015-09-22,-81033,102114
2015-09-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,61932,149592,215338,103272,322721,2015-09-29,-87660,112066
2015-10-06T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,65410,154220,222477,113970,337606,2015-10-06,-88810,108507
2015-10-13T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,71132,151708,226415,129400,349720,2015-10-13,-80576,97015
2015-10-20T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,76291,138857,229622,150293,357133,2015-10-20,-62566,79329
2015-10-27T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,70351,176285,261683,127233,380564,2015-10-27,-105934,134450
2015-11-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,72883,207217,288232,119288,405462,2015-11-03,-134334,168944
2015-11-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,78994,221933,294780,110225,421967,2015-11-10,-142939,184555
2015-11-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,78898,243075,307454,103302,436801,2015-11-17,-164177,204152
2015-11-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,76296,251780,318441,102519,444626,2015-11-24,-175484,215922
2015-12-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,78782,261627,330854,106332,462447,2015-12-01,-182845,224522
2015-12-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,80378,252709,309680,112572,474921,2015-12-08,-172331,197108
2015-12-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,71295,231256,275052,89741,404837,2015-12-15,-159961,185311
2015-12-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,70509,231556,275354,93283,406533,2015-12-22,-161047,182071
2015-12-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,66973,227523,273701,93279,400497,2015-12-29,-160550,180422
2016-01-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,66857,227500,276815,97443,407105,2016-01-05,-160643,179372
2016-01-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,63162,209613,271543,109792,398570,2016-01-12,-146451,161751
2016-01-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,69449,206464,265334,117867,400362,2016-01-19,-137015,147467
2016-01-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,71446,198661,267012,124194,402227,2016-01-26,-127215,142818
2016-02-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,96012,183085,259869,147872,403939,2016-02-02,-87073,111997
2016-02-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,114607,177921,268586,194562,441228,2016-02-09,-63314,74024
2016-02-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,113970,162175,258996,205232,429997,2016-02-16,-48205,53764
2016-02-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,107566,154423,258954,205427,422624,2016-02-23,-46857,53527
2016-03-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,103965,172506,260901,174403,417624,2016-03-01,-68541,86498
2016-03-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,104165,176072,263377,173378,433221,2016-03-08,-71907,89999
2016-03-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,90353,167908,180672,92859,322405,2016-03-15,-77555,87813
2016-03-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,91334,157387,176950,103926,324310,2016-03-22,-66053,73024
2016-03-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,93726,157537,178491,111140,330090,2016-03-29,-63811,67351
2016-04-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,98014,151501,180268,120531,338533,2016-04-05,-53487,59737
2016-04-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,89216,141267,182596,126793,333535,2016-04-12,-52051,55803
2016-04-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,101211,148128,185459,133519,345563,2016-04-19,-46917,51940
2016-04-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,99072,138739,182996,138270,340200,2016-04-26,-39667,44726
