date,IBIT,total_dv
2024-11-26,3485784661.439896,4873162611.654091
2024-11-27,3399945929.5806885,4572464254.790115
2024-11-29,1674922305.2253723,2443230083.70018
2024-12-02,2866704887.9127502,3850421587.001419
2024-12-03,2123961748.2940676,2906768594.9726105
2024-12-04,3309331918.598938,4771614841.466904
2024-12-05,5044844776.486206,6860119028.465652
2024-12-06,2890982561.8400574,4052543579.923439
2024-12-09,3047235022.5128174,4211087565.374756
2024-12-10,2679669074.4781494,3755047546.984291
2024-12-11,2820926531.6589355,3926287128.052902
2024-12-12,2209139124.934387,3061784005.2999496
2024-12-13,2193729241.219712,3070333673.108292
2024-12-16,3853724780.117798,5318897713.70697
2024-12-17,3013282898.2868195,4299876371.2387085
2024-12-18,3994749207.320404,5545176384.059906
2024-12-19,4353736705.123901,6051165771.299744
2024-12-20,3032522274.981308,4030583814.7060394
2024-12-23,2354221747.438431,3416036766.3742065
2024-12-24,1557160508.323288,2139633419.0200806
2024-12-26,1438982559.7816467,2061352337.8688812
2024-12-27,1931567450.98114,2958549112.7033234
2024-12-30,2106656969.985962,3140607638.9097214
2024-12-31,1599117957.0022583,2172284410.1013184
2025-01-02,2271786760.1760864,3181056669.3099976
2025-01-03,1837698389.93454,2558485156.387329
2025-01-06,2752511241.357422,3862351762.4378204
2025-01-07,3127511874.2599487,4445110586.356354
2025-01-08,2510767147.1824646,3324618358.6402893
2025-01-10,2368750030.713272,3212633091.603279
2025-01-13,2387795184.7686768,3183166254.2531967
2025-01-14,1687272680.3466797,2190884048.617935
2025-01-15,2385942982.2891235,3139057823.669052
2025-01-16,2029435325.4241943,2713576206.0985565
2025-01-17,4219074806.4136505,5379881227.196884
2025-01-21,3831274377.891541,5008960331.211281
2025-01-22,2236719942.233658,2918607664.1742706
2025-01-23,6948837012.213135,9332208578.443146
2025-01-24,2751113345.1580048,3565503117.3223495
2025-01-27,3531889464.8605347,4764998088.634491
2025-01-28,1742198115.4022217,2431473921.8816757
2025-01-29,2258444801.807404,2989251373.48156
2025-01-30,1999383836.868286,2894205508.844757
2025-01-31,2408717254.787445,3320031550.801468
2025-02-03,4253141077.250672,5922305935.358238
2025-02-04,2727788952.907944,3716166658.921242
2025-02-05,1366927695.236206,1995267342.2676086
2025-02-06,1561240897.7462769,2407399435.5945587
2025-02-07,2259268581.6314697,3141778182.8653336
2025-02-10,1181355106.7848206,1818971600.4058838
2025-02-11,1490335513.81073,2088441527.350235
